Id,activity_date,total_steps,calories,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,activity_level,activity_intensity_segment,day_type,total_minutes_asleep,total_time_in_bed,sleep_efficiency,sleep_segment
1503960366,26-04-2016,13755,1970,31,23,279,833,High Activity,High Very-Active,Weekday,245,274,89.4,Less than 6 Hours
1503960366,27-04-2016,18134,2159,78,11,243,1108,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1503960366,28-04-2016,13154,1898,48,28,189,782,High Activity,High Very-Active,Weekday,366,393,93.1,6-8 Hours
1503960366,29-04-2016,11181,1837,16,12,243,815,High Activity,Moderate Very-Active,Weekday,341,354,96.3,Less than 6 Hours
1503960366,30-04-2016,14673,1947,52,34,217,712,High Activity,High Very-Active,Weekend,404,425,95.1,6-8 Hours
1503960366,01-05-2016,10602,1820,33,35,246,730,High Activity,High Very-Active,Weekend,369,396,93.2,6-8 Hours
1503960366,02-05-2016,14727,2004,41,15,277,798,High Activity,High Very-Active,Weekday,277,309,89.6,Less than 6 Hours
1503960366,03-05-2016,15103,1990,50,24,254,816,High Activity,High Very-Active,Weekday,273,296,92.2,Less than 6 Hours
1503960366,04-05-2016,11100,1819,36,22,203,1179,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1503960366,05-05-2016,14070,1959,45,24,250,857,High Activity,High Very-Active,Weekday,247,264,93.6,Less than 6 Hours
1503960366,06-05-2016,12159,1896,24,6,289,754,High Activity,Moderate Very-Active,Weekday,334,367,91,Less than 6 Hours
1503960366,07-05-2016,11992,1821,37,46,175,833,High Activity,High Very-Active,Weekend,331,349,94.8,Less than 6 Hours
1503960366,08-05-2016,10060,1740,44,8,203,574,High Activity,High Very-Active,Weekend,594,611,97.2,More than 8 Hours
1503960366,09-05-2016,12022,1819,46,11,206,835,High Activity,High Very-Active,Weekday,338,342,98.8,Less than 6 Hours
1503960366,10-05-2016,12207,1859,46,31,214,746,High Activity,High Very-Active,Weekday,383,403,95,6-8 Hours
1503960366,11-05-2016,12770,1783,36,23,251,669,High Activity,High Very-Active,Weekday,285,306,93.1,Less than 6 Hours
1503960366,12-05-2016,0,0,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,12-04-2016,8163,1432,0,0,146,1294,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,13-04-2016,7007,1411,0,0,148,1292,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,14-04-2016,9107,1572,0,0,236,1204,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,15-04-2016,1510,1344,0,0,96,1344,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,16-04-2016,5370,1463,0,0,176,1264,Moderate Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1624580081,17-04-2016,6175,1554,15,22,127,1276,Moderate Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1624580081,18-04-2016,10536,1604,17,7,202,1214,High Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,19-04-2016,2916,1435,0,0,141,1299,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,20-04-2016,4974,1446,0,0,151,1289,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,21-04-2016,6349,1467,0,0,186,1254,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,22-04-2016,4026,1470,0,0,199,1241,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,23-04-2016,8538,1562,0,0,227,1213,Moderate Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1624580081,24-04-2016,6076,1617,16,18,185,1221,Moderate Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1624580081,25-04-2016,6497,1492,0,0,202,1238,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,26-04-2016,2826,1402,0,0,140,1300,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,27-04-2016,8367,1670,17,36,154,1233,Moderate Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,28-04-2016,2759,1401,0,5,115,1320,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,29-04-2016,2390,1404,0,0,150,1290,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,30-04-2016,6474,1655,11,23,224,1182,Moderate Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1624580081,01-05-2016,36019,2690,186,63,171,1020,High Activity,High Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1624580081,02-05-2016,7155,1497,7,6,166,1261,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,03-05-2016,2100,1334,0,0,96,1344,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,04-05-2016,2193,1368,0,0,118,1322,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,05-05-2016,2470,1370,0,0,117,1323,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,06-05-2016,1727,1341,0,0,102,1338,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,07-05-2016,2104,1474,0,0,182,1258,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1624580081,08-05-2016,3427,1427,0,0,152,1288,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1624580081,09-05-2016,1732,1328,0,0,91,1349,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,10-05-2016,2969,1393,0,0,139,1301,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,11-05-2016,3134,1359,0,0,112,1328,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1624580081,12-05-2016,2971,1002,0,0,107,890,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,12-04-2016,10694,3199,2,51,256,1131,High Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,13-04-2016,8001,2902,30,16,135,1259,Moderate Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,14-04-2016,11037,3226,5,58,252,1125,High Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,15-04-2016,5263,2750,3,4,170,1263,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,16-04-2016,15300,3493,51,42,212,1135,High Activity,High Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1644430081,17-04-2016,8757,3011,29,13,186,1212,Moderate Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1644430081,18-04-2016,7132,2806,15,33,121,1271,Moderate Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,19-04-2016,11256,3300,5,58,278,1099,High Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,20-04-2016,2436,2430,0,0,125,1315,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,21-04-2016,1223,2140,0,0,38,1402,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,22-04-2016,3673,2344,0,0,86,1354,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,23-04-2016,6637,2677,0,15,160,1265,Moderate Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1644430081,24-04-2016,3321,2413,0,0,89,1351,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1644430081,25-04-2016,3580,2497,8,1,94,1337,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,26-04-2016,9919,3123,11,41,223,1165,Moderate Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,27-04-2016,3032,2489,0,0,118,1322,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,28-04-2016,9405,3108,3,53,227,1157,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,29-04-2016,3176,2498,0,0,120,1193,Low Activity,Low Very-Active,Weekday,119,127,93.7,Less than 6 Hours
1644430081,30-04-2016,18213,3846,9,71,402,816,High Activity,Low Very-Active,Weekend,124,142,87.3,Less than 6 Hours
1644430081,01-05-2016,6132,2696,3,24,146,908,Moderate Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1644430081,02-05-2016,3758,2580,1,7,148,682,Low Activity,Low Very-Active,Weekday,796,961,82.8,More than 8 Hours
1644430081,03-05-2016,12850,3324,10,94,221,1115,High Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,04-05-2016,2309,2222,0,0,52,1388,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,05-05-2016,4363,2463,6,12,81,1341,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,06-05-2016,9787,3328,11,6,369,1054,Moderate Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,07-05-2016,13372,3404,41,17,243,1139,High Activity,High Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1644430081,08-05-2016,6724,2987,0,0,295,991,Moderate Activity,Low Very-Active,Weekend,137,154,89,Less than 6 Hours
1644430081,09-05-2016,6643,3008,32,6,303,1099,Moderate Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,10-05-2016,9167,2799,12,19,155,1254,Moderate Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1644430081,11-05-2016,1329,1276,0,0,49,713,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,12-04-2016,6697,2030,0,0,339,1101,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,13-04-2016,4929,1860,0,0,248,1192,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,14-04-2016,7937,2130,0,0,373,843,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,15-04-2016,3844,1725,0,0,176,527,Low Activity,Low Very-Active,Weekday,644,961,67,More than 8 Hours
1844505072,16-04-2016,3414,1657,0,0,147,1293,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1844505072,17-04-2016,4525,1793,2,8,199,1231,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1844505072,18-04-2016,4597,1814,0,12,217,1211,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,19-04-2016,197,1366,0,0,10,1430,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,20-04-2016,8,1349,0,0,1,1439,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,21-04-2016,8054,2062,2,13,308,1117,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,22-04-2016,5372,1827,0,0,220,1220,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,23-04-2016,3570,1645,0,0,139,1301,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1844505072,24-04-2016,0,1347,0,0,0,1440,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1844505072,25-04-2016,0,1347,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,26-04-2016,0,1347,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,27-04-2016,4,1348,0,0,1,1439,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,28-04-2016,6907,1992,0,0,302,1138,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,29-04-2016,4920,1856,0,0,247,1082,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,30-04-2016,4014,1763,0,0,184,218,Low Activity,Low Very-Active,Weekend,722,961,75.1,More than 8 Hours
1844505072,01-05-2016,2573,1541,0,7,75,585,Low Activity,Low Very-Active,Weekend,590,961,61.4,More than 8 Hours
1844505072,02-05-2016,0,1348,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,03-05-2016,4059,1742,0,0,184,1256,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,04-05-2016,2080,1549,0,0,87,1353,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,05-05-2016,2237,1589,0,0,120,1320,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,06-05-2016,44,1351,0,0,2,1438,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,07-05-2016,0,1347,0,0,0,1440,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1844505072,08-05-2016,0,1347,0,0,0,1440,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1844505072,09-05-2016,0,1347,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,10-05-2016,0,1347,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,11-05-2016,0,1347,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1844505072,12-05-2016,0,665,0,0,0,711,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,12-04-2016,678,2220,0,0,55,734,Low Activity,Low Very-Active,Weekday,750,775,96.8,More than 8 Hours
1927972279,13-04-2016,356,2151,0,0,32,986,Low Activity,Low Very-Active,Weekday,398,422,94.3,6-8 Hours
1927972279,14-04-2016,2163,2383,0,9,88,1292,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,15-04-2016,980,2221,0,0,51,941,Low Activity,Low Very-Active,Weekday,475,499,95.2,6-8 Hours
1927972279,16-04-2016,0,2064,0,0,0,1440,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1927972279,17-04-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1927972279,18-04-2016,244,2111,0,0,17,1423,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,19-04-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,20-04-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,21-04-2016,0,2064,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,22-04-2016,149,2093,0,0,10,1430,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,23-04-2016,2945,2499,0,0,145,1295,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1927972279,24-04-2016,2090,2324,1,6,75,1358,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1927972279,25-04-2016,152,2100,0,0,12,1303,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,26-04-2016,3761,2638,0,0,192,1058,Low Activity,Low Very-Active,Weekday,296,315,94,Less than 6 Hours
1927972279,27-04-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,28-04-2016,1675,2351,0,0,95,1167,Low Activity,Low Very-Active,Weekday,166,178,93.3,Less than 6 Hours
1927972279,29-04-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,30-04-2016,0,2064,0,0,0,1440,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1927972279,01-05-2016,2704,2411,14,1,70,1355,Low Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1927972279,02-05-2016,3790,2505,16,8,94,1322,Low Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,03-05-2016,1326,2195,10,0,17,1413,Low Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,04-05-2016,1786,2338,0,0,87,1353,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,05-05-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,06-05-2016,2091,2383,0,0,108,1332,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,07-05-2016,1510,2229,0,0,48,1392,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1927972279,08-05-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
1927972279,09-05-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,10-05-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,11-05-2016,0,2063,0,0,0,1440,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
1927972279,12-05-2016,0,1383,0,0,0,966,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,12-04-2016,11875,2390,42,14,227,1157,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,13-04-2016,12024,2601,43,5,292,1100,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,14-04-2016,10690,2312,32,3,257,1148,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,15-04-2016,11034,2525,27,9,282,1122,High Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,16-04-2016,10100,2177,41,11,151,1237,High Activity,High Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
2022484408,17-04-2016,15112,2782,28,29,331,1052,High Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
2022484408,18-04-2016,14131,2770,48,3,311,1078,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,19-04-2016,11548,2489,31,7,250,1152,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,20-04-2016,15112,2897,48,63,276,1053,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,21-04-2016,12453,3158,104,53,255,1028,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,22-04-2016,12954,2638,52,10,273,1105,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,23-04-2016,6001,2069,0,0,249,1191,Moderate Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
2022484408,24-04-2016,13481,2529,37,26,216,1161,High Activity,High Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
2022484408,25-04-2016,11369,2470,44,8,217,1171,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,26-04-2016,10119,2793,55,24,275,1086,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,27-04-2016,10159,2463,19,20,282,1119,High Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,28-04-2016,10140,2296,6,20,291,1123,High Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,29-04-2016,10245,2611,21,40,281,1098,High Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,30-04-2016,18387,2732,13,23,361,1043,High Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
2022484408,01-05-2016,10538,2380,25,28,245,1142,High Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
2022484408,02-05-2016,10379,2473,36,8,277,1119,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,03-05-2016,12183,2752,72,14,250,1104,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,04-05-2016,11768,2649,36,27,272,1105,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,05-05-2016,11895,2609,55,20,253,1112,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,06-05-2016,10227,2498,24,17,295,1104,High Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,07-05-2016,6708,1995,20,2,149,1269,Moderate Activity,Moderate Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
2022484408,08-05-2016,3292,1848,0,0,135,1305,Low Activity,Low Very-Active,Weekend,NULL,NULL,NULL,More than 8 Hours
2022484408,09-05-2016,13379,2709,35,47,297,1061,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,10-05-2016,12798,2797,57,28,271,1084,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,11-05-2016,13272,2544,58,25,224,1133,High Activity,High Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2022484408,12-05-2016,9117,1853,16,16,236,728,Moderate Activity,Moderate Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2026352035,12-04-2016,4414,1459,3,8,181,706,Low Activity,Low Very-Active,Weekday,503,546,92.1,More than 8 Hours
2026352035,13-04-2016,4993,1521,0,0,238,663,Low Activity,Low Very-Active,Weekday,531,565,94,More than 8 Hours
2026352035,14-04-2016,3335,1431,0,0,197,653,Low Activity,Low Very-Active,Weekday,545,568,96,More than 8 Hours
2026352035,15-04-2016,3821,1444,0,0,188,687,Low Activity,Low Very-Active,Weekday,523,573,91.3,More than 8 Hours
2026352035,16-04-2016,2547,1373,0,0,150,728,Low Activity,Low Very-Active,Weekend,524,567,92.4,More than 8 Hours
2026352035,17-04-2016,838,1214,0,0,60,1053,Low Activity,Low Very-Active,Weekend,437,498,87.8,6-8 Hours
2026352035,18-04-2016,3325,1419,0,0,182,1062,Low Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2026352035,19-04-2016,2424,1356,0,0,141,785,Low Activity,Low Very-Active,Weekday,498,540,92.2,More than 8 Hours
2026352035,20-04-2016,7222,1667,0,0,327,623,Moderate Activity,Low Very-Active,Weekday,461,510,90.4,6-8 Hours
2026352035,21-04-2016,2467,1370,0,0,153,749,Low Activity,Low Very-Active,Weekday,477,514,92.8,6-8 Hours
2026352035,22-04-2016,2915,1399,0,0,162,712,Low Activity,Low Very-Active,Weekday,520,545,95.4,More than 8 Hours
2026352035,23-04-2016,12357,1916,0,0,432,458,High Activity,Low Very-Active,Weekend,522,554,94.2,More than 8 Hours
2026352035,24-04-2016,3490,1401,0,0,164,704,Low Activity,Low Very-Active,Weekend,555,591,93.9,More than 8 Hours
2026352035,25-04-2016,6017,1576,0,0,260,821,Moderate Activity,Low Very-Active,Weekday,506,531,95.3,More than 8 Hours
2026352035,26-04-2016,5933,1595,0,0,288,1018,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2026352035,27-04-2016,6088,1593,0,0,286,586,Moderate Activity,Low Very-Active,Weekday,508,545,93.2,More than 8 Hours
2026352035,28-04-2016,6375,1649,0,0,331,626,Moderate Activity,Low Very-Active,Weekday,513,545,94.1,More than 8 Hours
2026352035,29-04-2016,7604,1692,0,0,352,492,Moderate Activity,Low Very-Active,Weekday,490,510,96.1,More than 8 Hours
2026352035,30-04-2016,4729,1506,0,0,233,594,Low Activity,Low Very-Active,Weekend,573,607,94.4,More than 8 Hours
2026352035,01-05-2016,3609,1447,0,0,191,716,Low Activity,Low Very-Active,Weekend,527,546,96.5,More than 8 Hours
2026352035,02-05-2016,7018,1690,0,0,355,716,Moderate Activity,Low Very-Active,Weekday,511,543,94.1,More than 8 Hours
2026352035,03-05-2016,5992,1604,0,0,304,981,Moderate Activity,Low Very-Active,Weekday,NULL,NULL,NULL,More than 8 Hours
2026352035,04-05-2016,6564,1658,0,0,345,530,Moderate Activity,Low Very-Active,Weekday,538,560,96.1,More than 8 Hours
2026352035,05-05-2016,12167,1926,0,0,475,479,High Activity,Low Very-Active,Weekday,468,485,96.5,6-8 Hours
2026352035,06-05-2016,8198,1736,0,0,383,511,Moderate Activity,Low Very-Active,Weekday,524,548,95.6,More than 8 Hours
